================================================================================
Step 1: Domain Understanding & Hypothesis Generation
================================================================================

📤 PROMPT SENT TO LLM:
----------------------------------------
Role: Data Scientist — Explore Potential Causal Directions in a Bivariate Dataset

Dataset Summary:
Let **X = Effective_Federal_Funds_Rate** and **Y = Inflation_Rate**.

### Hypothesis A: **X → Y** (policy rate causes inflation)
**Scenario (plausible mechanism): Monetary policy transmission**
- When the central bank **raises the policy rate (EFFR)**, borrowing costs increase, credit growth slows, aggregate demand cools, and labor/product markets soften.
- Over time (often with lags), these effects can reduce price pressures, leading to **lower future inflation**.
- Conversely, when EFFR is **lowered**, financial conditions ease, supporting demand and potentially allowing inflation to **rise** if the economy nears capacity.

**Context consistent with “switching”**
- The **strength and sign** of X → Y can vary by inflation regime:
  - At **high inflation**, tightening may have a strong disinflationary effect (larger marginal impact).
  - At **low inflation / near the effective lower bound**, lowering rates further may have **diminishing effects** on inflation (liquidity trap / weak transmission), making the observable relationship weaker or different.

### Hypothesis B: **Y → X** (inflation causes the policy rate)
**Scenario (plausible mechanism): Policy reaction function / central bank response**
- When **inflation rises**, policymakers may raise the **EFFR** to prevent inflation from becoming entrenched (a reaction consistent with Taylor-rule style behavior).
- When **inflation is low** or falling, policymakers may reduce EFFR to support economic activity and move inflation back toward target.

**Context consistent with “switching”**
- A regime switch based on inflation levels is natural under a nonlinear reaction function:
  - If inflation is **below/near target**, the central bank might prioritize employment/financial stability, resulting in a muted or different response of EFFR to small inflation changes.
  - If inflation is **well above target**, the central bank may respond aggressively (possibly more-than-one-for-one), producing a stronger Y → X linkage in that region.

---

### Note (without preferring a direction)
Both directions can simultaneously appear plausible in real macro data because:
- **Policy affects inflation with lags (X → Y)**, and
- **Policy reacts to current/expected inflation (Y → X)**,
and the observed “switch” by inflation level can arise from either (or both) nonlinear transmission and nonlinear policy response.
